1621578529640641536,-0.04896,0.18799,0.00189,0.99969,-0.00305,0.00111,0.02454,-0.07407,0.35791,-0.00337,
1621578529774395904,-0.05869,0.24326,0.00293,0.99950,0.00053,0.00236,0.03140,-0.09390,0.40756,-0.00014,
1621578529908415744,-0.06363,0.29832,0.00011,0.99923,0.00362,0.00358,0.03881,-0.10175,0.45552,-0.00304,
1621578530042223104,-0.07365,0.36415,0.00076,0.99885,0.00747,0.00568,0.04703,-0.11484,0.49786,-0.00087,
1621578530175478784,-0.08741,0.43286,0.00568,0.99827,0.01450,0.00899,0.05619,-0.15081,0.53398,0.00540,
1621578530308316416,-0.10423,0.50796,0.01208,0.99754,0.02026,0.01218,0.06594,-0.18094,0.58009,0.01314,
1621578530442050816,-0.12510,0.58864,0.01677,0.99669,0.02253,0.01578,0.07654,-0.21673,0.62154,0.02275,
1621578530575617792,-0.15141,0.67242,0.01859,0.99574,0.02191,0.01977,0.08739,-0.24298,0.64975,0.02478,
1621578530709573888,-0.17698,0.75809,0.01508,0.99460,0.01794,0.02525,0.09903,-0.26360,0.67091,0.01863,
1621578530843228416,-0.20480,0.83893,0.00899,0.99325,0.01411,0.03036,0.11109,-0.29615,0.67722,0.01450,
1621578530976274432,-0.23444,0.91432,0.00236,0.99176,0.01093,0.03392,0.12306,-0.30814,0.68742,0.01026,
1621578531109697536,-0.26832,1.00161,-0.00223,0.99018,0.00881,0.03496,0.13504,-0.32515,0.70592,0.00551,
1621578531243262464,-0.29591,1.08763,-0.00851,0.98849,0.00548,0.03703,0.14660,-0.32125,0.71270,0.00178,
1621578531377657344,-0.32836,1.17958,-0.01466,0.98687,0.00435,0.03744,0.15707,-0.31989,0.73161,-0.00191,
1621578531510823936,-0.36441,1.27646,-0.02006,0.98536,0.00359,0.03716,0.16634,-0.33027,0.74868,0.00153,
1621578531644880128,-0.39972,1.37099,-0.02443,0.98389,0.00338,0.03779,0.17473,-0.32445,0.75172,-0.00587,
1621578531778165248,-0.43319,1.46377,-0.02962,0.98244,0.00288,0.03812,0.18261,-0.34063,0.75904,-0.01093,
1621578531912145920,-0.47069,1.56069,-0.03531,0.98129,0.00308,0.03799,0.18871,-0.31748,0.78803,-0.01191,
1621578532044894208,-0.50762,1.66528,-0.03808,0.98053,0.00310,0.03837,0.19256,-0.28349,0.82378,-0.01407,
1621578532180013056,-0.53016,1.75742,-0.04052,0.98021,0.00192,0.04048,0.19375,-0.24396,0.82951,-0.00451,
1621578532312153344,-0.56160,1.86902,-0.04057,0.98058,0.00173,0.04075,0.19186,-0.21223,0.82682,-0.00557,
1621578532445586176,-0.60710,2.01723,-0.04387,0.98122,0.00232,0.03915,0.18886,-0.20458,0.87076,-0.01463,
1621578532579327232,-0.63867,2.13781,-0.04707,0.98207,0.00290,0.03883,0.18444,-0.21569,0.87565,-0.02097,
1621578532712675328,-0.65868,2.23816,-0.04814,0.98348,0.00311,0.03787,0.17699,-0.17511,0.86698,-0.00352,
1621578532846617856,-0.69005,2.39377,-0.05202,0.98527,0.00269,0.03602,0.16714,-0.07100,0.91402,-0.00920,
1621578532981049344,-0.70703,2.53826,-0.05657,0.98730,0.00283,0.03556,0.15480,-0.01549,0.91669,-0.02054,
1621578533113163008,-0.71616,2.67598,-0.06101,0.98966,0.00314,0.03516,0.13904,0.06650,0.91975,-0.02792,
1621578533247388672,-0.72600,2.85331,-0.07002,0.99210,0.00224,0.03447,0.12060,0.13459,0.93695,-0.02594,
