%YAML:1.0
---
body_T_cam0: !!opencv-matrix
   rows: 4
   cols: 4
   dt: d
   data: [ 9.9997923436780856e-01, 6.3424815173308002e-03,
       1.1418237052232320e-03, 3.0790746929485868e-02,
       -1.0778249751900769e-03, -1.0084756853072641e-02,
       9.9994856666357457e-01, 3.6198934402348154e-01,
       6.3536703167813985e-03, -9.9992903278553569e-01,
       -1.0077711351736962e-02, -1.9071308591864694e-01, 0., 0., 0., 1. ]
body_T_cam1: !!opencv-matrix
   rows: 4
   cols: 4
   dt: d
   data: [ 9.9996946327475245e-01, 6.6899217323493545e-03,
       4.0394882372165632e-03, 1.5473896994175287e-01,
       -3.9601052267109610e-03, -1.1837096956622384e-02,
       9.9992209731670256e-01, 3.8092737465350845e-01,
       6.7372163834144207e-03, -9.9990755976882928e-01,
       -1.1810242696426387e-02, -1.9037661478313350e-01, 0., 0., 0., 1. ]
